Ticker symbol,Security,GICS Sector,GICS Sub Industry,Location,Date first added[3][4],Founded
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,1869
CPRT,Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,
CRM,Salesforce.com,Information Technology,Internet Software & Services,"San Francisco, California",9/15/2008,
CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",12/1/1993,
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",9/30/1967,1980
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,
CTL,CenturyLink Inc,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",3/25/1999,
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,
CTXS,Citrix Systems,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",12/1/1999,
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",,1996
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",,1879
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2/22/2016,
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,1983
DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",9/11/2013,
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,1837
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,
DGX,Quest Diagnostics,Health Care,Health Care Services,"Madison, New Jersey",12/12/2002,
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,1978
DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",,1969
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",6/30/1976,
DISCA,Discovery Inc. Class A,Communication Services,Broadcasting,"Silver Spring, Maryland",3/1/2010,
DISCK,Discovery Inc. Class C,Communication Services,Broadcasting,"Silver Spring, Maryland",8/7/2014,
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/2017,
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",5/18/2016,
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/2011,
DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,
DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/2017,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,1938
DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",7/31/2008,
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,
DWDP,DowDuPont,Materials,Diversified Chemicals,"Midland, Michigan",,2017
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1995
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/1989,
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1823
EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",,1886
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",1/5/2006,
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,1890
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",12/3/2001,
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",12/19/2008,
ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",,1966
ESRX,Express Scripts,Health Care,Health Care Distributors,"Cool Valley, Missouri",9/25/2003,
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California",4/2/2014,
ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",3/31/2004,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1911
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",,1913
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,1909
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/2011,
EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",,2000
EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",10/2/2007,
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/2016,
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,1903
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",9/15/2009,
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/2013,
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",6/22/2016,
FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",,1912
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",,1997
FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",12/20/2010,1996
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida",11/10/2006,
FISV,Fiserv Inc,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",4/2/2001,
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",,1858
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,"New York, New York",4/4/2016,
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",1/2/2009,
FLR,Fluor Corp.,Industrials,Construction & Engineering,"Irving, Texas",3/31/1980,
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",10/2/2008,
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsources Services,"Norcross, Georgia",6/20/2018,2000
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/2009,
FOX,Twenty-First Century Fox Class B,Communication Services,Movies & Entertainment,"New York, New York",9/18/2015,
FOXA,Twenty-First Century Fox Class A,Communication Services,Movies & Entertainment,"New York, New York",7/1/2013,
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",6/5/2009,
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",10/11/2018,2000
FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",7/1/2016,
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",,1899
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,1892
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/2004,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/1969,1856
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",,1851
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,1998
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,1998
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/1973,1925
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/2016,
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/1986,
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",7/22/2002,
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",,1898
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",6/30/1981,
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,1919
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984,
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",,1866
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",3/20/2015,
HCA,HCA Holdings,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/2015,
HCP,HCP Inc.,Real Estate,Health Care REITs,"Long Beach, California",3/31/2008,
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/1988,
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",5/31/1984,
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",6/18/2018,1947
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/2018,
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/2017,
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,1903
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/2016,
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",3/31/1964,1906
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[7]",3/1/2010,
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",11/2/2015,
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/1974,1939 (2015)
HRB,Block H&R,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",11/30/1986,
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/2009,
HRS,Harris Corporation,Industrials,Aerospace & Defense,"Melbourne, Florida",9/22/2008,
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",3/17/2015,
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/2007,
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,1894
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",,1961
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",,1911
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",9/26/2007,
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017,
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",3/31/1976,
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/2015,
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2/28/2017,
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom",6/2/2017,
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",12/31/1976,
INTU,Intuit Inc.,Information Technology,Internet Software & Services,"Mountain View, California",12/5/2000,
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",,1898
IPG,Interpublic Group,Communication Services,Advertising,"New York, New York",10/1/1992,
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",3/7/2018,
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Service,"Durham, North Carolina",8/29/2017,
IR,Ingersoll-Rand PLC,Industrials,Industrial Machinery,"Dublin, Ireland",11/17/2010,
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/2009,
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/2008,
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/1986,
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/2008,
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas",7/1/2015,
JCI,Johnson Controls International,Industrials,Building Products,"Cork, Ireland",8/27/2010,
JEC,Jacobs Engineering Group,Industrials,Construction & Engineering,"Pasadena, California",10/26/2007,
JEF,Jefferies Financial Group,Financials,Multi-Sector Holdings,"New York, New York",8/27/2007,
JNJ,Johnson & Johnson,Health Care,Health Care Equipment,"New Brunswick, New Jersey",6/30/1973,1886
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",,1996
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York",6/30/1975,
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",8/31/1986,
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,1906
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",3/1/1994,
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",7/6/2015,
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/2006,
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",,1975/1977 (1997)
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",,1872
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/2012,
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/2010,
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks,"Atlanta, Georgia",,1886
KORS,Michael Kors Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",11/13/2013,
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",,1883
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,1962
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",5/24/2013,
L,Loews Corp.,Financials,Multi-line Insurance,"New York, New York",,
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",9/30/1983,
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,1883
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",10/4/2005,
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina",11/1/2004,
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/2016,
LLL,L-3 Communications Holdings,Industrials,Aerospace & Defense,"New York, New York",,1997
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/1970,1876
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/1984,
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/1976,
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,1917
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/1984,1904/1946/1959
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/2012,
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",7/1/1994,
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/2012,
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,1929
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",7/18/2008,
MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",12/2/2016,
MAC,Macerich,Real Estate,Retail REITs,"Santa Monica, California",5/9/2013,
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1927
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",6/30/1981,
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",3/31/1982,
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/1970,1940
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",9/7/2007,
MCK,McKesson Corp.,Health Care,Health Care Distributors,"San Francisco, California",,1833
MCO,Moody's Corp,Financials,Financial Exchanges & Data,"New York, New York",,1909
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",10/2/2012,
MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland",10/31/1986,
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",,1868
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/2017,
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",12/23/2013,
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,1889
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",7/2/2014,
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",8/31/1987,
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,1902
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",6/28/2012,
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",,1985
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",9/26/2011,
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/2011,
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,1891
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/1991,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",,1935
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York",4/4/2018,
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",6/1/1994,
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Schaumburg, Illinois",,1928 (2011)
MTB,M&T Bank Corp.,Financials,Regional Banks,"Buffalo, New York",,1856
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/2016,
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",9/27/1994,
MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",4/23/2004,
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",10/8/2007,
NCLH,Norwegian Cruise Line,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",10/13/2017,
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York",10/22/2008,
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/1976,
NEM,Newmont Mining Corporation,Materials,Gold,"Denver, Colorado",6/30/1969,1921
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/2010,
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,"Houston, Texas",12/20/2010,
NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana",,1912
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/1988,
NKTR,Nektar Therapeutics,Health Care,Pharmaceuticals,"San Francisco, California",3/19/2018,
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",7/9/2013,
