Rank,Company Name,Country,Number of Employees,"Previous 
Rank","Revenues
($millions)","Revenue 
Change","Profits
($millions)","Profit 
Change","Assets
($millions)"
55,Nippon Tel. & Tel.,Japan,282533,50,106500,0.013,8210.7,0.112,203853.8
56,China Railway Engineering,China,290535,55,102767,0.06,1169.8,0.266,130212.2
57,Home Depot,USA,413000,59,100904,0.067,8630,0.085,44529
58,China Railway Construction,China,364964,58,100855,0.063,1308.8,0.098,126891.5
59,Assicurazioni Generali,Italy,71327,57,100552,0.056,2378.4,0.034,644908.7
60,Bank of America Corp.,USA,209376,62,100264,0.07,18232,0.018,2281234
61,Express Scripts Holding,USA,26600,53,100065,-0.002,4517.4,0.327,54255.8
62,Wells Fargo,USA,262700,61,97741,0.038,22183,0.011,1951757
63,Lukoil,Russia,103600,102,93897,0.324,7182.3,1.324,90797.5
64,Boeing,USA,140800,60,93392,-0.012,8197,0.675,92333
65,Dongfeng Motor Group,China,180433,68,93294,0.082,1400,-0.011,71384.2
66,Siemens,Germany,372000,66,91585,0.036,6667.4,0.102,158160.8
67,Phillips 66,USA,14600,96,91568,0.265,5106,2.284,54371
68,Carrefour,France,378923,67,91276,0.048,-598.6,-1.726,57412.3
69,Nestlé,Switzerland,323000,64,91222,0.004,7297.4,-0.157,133819.2
70,Anthem,USA,56000,70,90039,0.061,3842.8,0.556,7054
71,Microsoft,USA,124000,69,89950,0.054,21204,0.262,241086
72,Huawei Investment & Holding,China,180000,83,89311,0.138,7020.8,0.258,77583.7
73,Petrobras,Brazil,62703,75,88827,0.091,-91,-,251366
74,Valero Energy,USA,10015,106,88407,0.26,4065,0.776,50158
75,Bosch,Germany,402166,76,87997,0.088,3103.2,0.44,98306.9
76,Citigroup,USA,209000,74,87966,0.068,-6798,-1.456,1842465
77,Banco Santander,Spain,198960,73,87401,0.056,7461,0.088,1734275.9
78,Hyundai Motor,South Korea,122217,78,85259,0.056,3567.6,-0.234,166479.3
79,Hitachi,Japan,307275,71,84559,-,3276.2,0.535,95049.4
80,Comcast,USA,164000,79,84526,0.051,22714,1.612,186949
81,Deutsche Telekom,Germany,216000,77,84481,0.045,3901.3,0.319,169709.4
82,Credit Agricole,France,73707,80,84222,0.049,4113.2,0.051,1861531
83,Enel,Italy,62900,84,84134,0.078,4259.7,0.499,186888.8
84,SK Holdings,South Korea,93000,95,83544,0.151,1483.9,1.249,102556.9
85,SoftBank Group,Japan,74952,72,82665,-0.003,9377.5,-0.288,293242.4
86,China Resources National,China,423169,86,82184,0.085,3151.9,0.222,186720.4
87,China National Offshore Oil,China,97986,115,81482,0.237,3018.5,0.722,173408.3
88,Uniper,Germany,12575,91,81428,0.094,-739.5,-,51826.4
89,ENI,Italy,32934,132,80006,0.276,3803.2,-,138001.9
90,HSBC Holdings,Britain,228687,88,79637,0.057,10798,3.356,2521771
91,China Communications Construction,China,161434,103,79417,0.122,1544.7,0.079,183197.5
92,IBM,USA,397800,81,79139,-0.01,5753,-0.515,125356
93,Dell Technologies,USA,145000,124,78660,0.214,-3728,-,122281
94,Électricité de France,France,151073,82,78490,-0.003,3576.7,0.134,337118.2
95,State Farm Insurance Cos.,USA,65664,85,78331,0.029,2206.5,5.299,272345.2
96,Pacific Construction Group,China,365425,89,77205,0.035,3143.9,-0.008,56577.2
97,Sony,Japan,117300,105,77116,0.099,4429.8,5.549,179305.4
98,Sinochem,China,63799,143,76765,0.289,753.3,0.609,64065.6
99,JX Holdings,Japan,39784,127,76629,0.204,3266.6,1.211,79540.6
100,Johnson & Johnson,USA,134000,97,76450,0.063,1300,-0.921,157303
101,China Energy Investment,China,313264,276,75522,1.024,2494.9,0.302,274440.5
102,Tesco,Britain,327916,92,75405,0.014,1581.8,-,61801.9
103,AEON,Japan,279625,87,75339,-0.006,220.2,1.12,88600.2
104,Engie,France,155128,93,75279,0.022,1604,-,180513.9
105,Airbus Group,Netherlands,129442,94,75261,0.022,3238.5,1.943,136812
106,Freddie Mac,USA,6165,118,74676,0.137,5625,-0.28,2049776
107,Pemex,Mexico,131590,152,73850,0.278,-14846.1,-,108978.6
108,Peugeot,France,177757,140,73506,0.23,2174.4,0.137,69050.2
109,China Minmetals,China,203786,120,72997,0.114,-210.7,-,131337.8
110,China Southern Power Grid,China,299842,100,72787,0.022,1937.9,-0.168,113886.2
111,Amer International Group,China,17886,183,72766,0.465,1545.8,0.288,22046.6
112,BASF,Germany,111112,126,72677,0.142,6851.2,0.527,94582.1
113,China Post Group,China,948239,119,72197,0.1,4960.7,-0.004,1422554.9
114,Panasonic,Japan,274143,110,72045,0.063,2130.4,0.546,59166.3
115,Rosneft Oil,Russia,318000,158,72028,0.274,3807.2,0.407,212425.5
116,Target,USA,345000,107,71879,0.034,2934,0.072,38999
117,People's Insurance Co. of China,China,215362,114,71579,0.073,2382,0.111,151705.5
118,Royal Ahold,Netherlands,224000,165,70891,0.29,2048.2,1.231,40671.2
119,Deutsche Post,Germany,472208,117,70545,0.072,3058.1,0.048,46436.1
120,Munich Re,Germany,42410,109,70143,0.021,422.7,-0.852,319070.6
121,Societe Generale,France,153168,108,69948,0.009,3163,-0.262,1531133.5
122,COFCO,China,124266,136,69669,0.137,393.5,0.925,83596.6
123,U.S. Postal Service,USA,573614,99,69636,-0.026,-2742,-,27394
124,Beijing Automotive Group,China,128735,137,69591,0.138,1554.5,0.233,67030.5
125,China FAW Group,China,123658,125,69524,0.073,2855.8,0.184,67073.7
126,Nippon Life Insurance,Japan,86394,111,68684,0.019,2201.6,-0.21,699638.1
127,Archelor Mittal,Luxembourg,197108,156,68679,0.209,4568,1.568,85297
128,Lowe's,USA,255000,122,68619,0.055,3447,0.114,35291
129,Mitsubishi Corp.,Japan,77476,145,68301,0.152,5056,0.244,150822.8
130,Marubeni,Japan,45239,116,68057,0.034,1906.8,0.33,64677.1
131,Marathon Petroleum,USA,43800,160,67610,0.21,3432,1.923,49047
132,Tewoo Group,China,17105,129,66577,0.051,121.9,-0.14,38257
133,Itaú Unibanco Holding,Brazil,99332,113,66287,-0.009,7488.3,0.123,432701.8
134,Renault,France,181344,157,66247,0.169,5764.6,0.525,132016.1
135,Procter & Gamble,USA,95000,98,66217,-0.077,15326,0.459,120406
136,MetLife,USA,49000,128,66153,0.042,4010,4.013,719892
137,Indian Oil,India,35149,168,65916,0.231,3442.2,0.163,45337.5
138,UPS,USA,346415,138,65872,0.082,4910,0.431,45403
139,Aegon,Netherlands,28318,147,65437,0.113,2783.1,4.759,475411.9
140,China North Industries,China,226338,135,64646,0.054,857.7,0.005,58044.3
141,China Telecommunications,China,412868,133,63974,0.025,1819.9,0.031,126726.5
142,Zurich Insurance Group,Switzerland,51633,112,63961,-0.049,3004,-0.064,422065
143,Aviva,Britain,30021,90,63934,-0.143,1927.6,1.031,598708.4
144,PepsiCo,USA,263000,131,63525,0.012,4857,-0.233,79804
145,Dai-ichi Life Insurance,Japan,62943,142,63522,0.066,3284.7,0.539,504119.5
146,Intel,USA,102700,144,62761,0.057,9601,-0.069,123249
147,DowDuPont,USA,98000,196,62683,0.302,1460,-0.662,192164
148,Reliance Industries,India,187729,203,62304,0.327,5596.3,0.255,125176.2
149,CITIC Group,China,258433,172,61316,0.16,3224.7,-0.004,972752.6
150,Equinor,Norway,20245,207,61187,0.334,4590,-,1111
151,Groupe BPCE,France,104770,104,61128,-0.133,3408.7,-0.227,1512788.2
152,Archer Daniels Midland,USA,31300,134,60828,-0.024,1595,0.247,39963
153,Unilever,Britain/Netherlands,160566,150,60548,0.039,6823,0.19,72388
154,Aetna,USA,47950,130,60535,-0.041,1904,-0.162,55151
155,FedEx,USA,404336,180,60319,0.198,2997,0.647,48552
156,Groupe Auchan,France,341349,146,60028,0.02,310,-0.525,42801
157,Albertsons Cos.,USA,275000,141,59925,0.004,46.3,0,21812
158,Vodafone Group,Britain,106135,149,59838,0.021,2849.4,-,179059.3
159,United Technologies,USA,204700,155,59837,0.045,4552,-0.1,9692
160,Prudential Financial,USA,49705,148,59689,0.015,7863,0.8,831921
161,Aviation Industry Corp. of China,China,452178,162,59263,0.072,363.1,-0.218,133772.1
162,China Baowu Steel Group,China,176518,204,59255,0.271,21.9,-0.951,114497.4
163,PTT,Thailand,25275,192,58819,0.207,3984.1,0.486,68517.9
164,Telefonica,Spain,122718,153,58624,0.019,3530.4,0.348,138167.6
165,Toyota Tsusho,Japan,56827,-,58586,0.095,1175.4,0.18,40534.6
166,Banco Bradesco,Brazil,86317,154,58062,0.011,5353.7,0.044,369192.6
167,ChemChina,China,142083,211,57989,0.284,-739,-42.228,122068.7
168,Bank of Communications,China,94085,171,57711,0.089,10390.3,0.027,1387938.3
169,Roche Group,Switzerland,93734,169,56634,0.06,8770.6,-0.098,78698.6
170,Anheuser-Busch InBev,Belgium,182915,206,56444,0.23,7996,5.443,246126
171,ING Group,Netherlands,54302,163,56347,0.019,6159.1,0.12,1013302.1
172,Legal & General Group,Britain,7570,49,55999,-0.468,2434.9,0.434,684172.3
173,Louis Dreyfus Commodities,Netherlands,17210,182,55440,0.112,317,0.039,20394
174,Sysco,USA,66500,179,55371,0.099,1142.5,0.203,17756.7
175,Banco do Brasil,Brazil,99161,151,55269,-0.049,3329.8,0.653,408007.4
176,Walt Disney,USA,199000,161,55137,-0.009,8980,-0.044,95789
177,Mitsubishi UFJ Financial Group,Japan,117321,164,54769,-0.008,8932.5,0.045,2886649.3
178,LG Electronics,South Korea,74000,201,54314,0.138,1526.7,22.045,38509.9
179,Seven & I Holdings,Japan,56606,167,54217,0.007,1626.7,0.822,51503.9
180,America Movil,Mexico,191851,176,54006,0.035,1550.2,2.349,75968.6
181,JD.Com,China,157831,261,53965,0.378,-22.5,-,28264
182,Power China,China,186234,190,53870,0.102,946.7,-0.105,105031.2
183,Humana,USA,45900,166,53767,-0.011,2448,2.987,27178
184,POSCO,South Korea,32287,208,53244,0.167,2438.3,1.088,74538.1
185,Shandong Weiqiao Pioneering,China,117718,159,53203,-0.053,1270,0.043,35439.2
186,Tokyo Electric Power,Japan,41525,185,52809,0.068,2870.9,1.342,118422.1
187,Pfizer,USA,90200,173,52546,-0.005,21308,1.953,171797
188,Korea Electric Power,South Korea,45232,177,52492,0.019,1148.9,-0.811,169832.7
189,Lloyds Banking Group,Britain,67905,121,52422,-0.196,4901.9,0.76,1098335.1
190,HP,USA,49000,194,52056,0.079,2526,0.012,32913
191,Petronas,Malaysia,49911,184,52028,0.052,8761.9,1.141,148330.9
192,Sumitomo Mitsui Financial Group,Japan,72978,202,52026,0.098,6628.2,0.017,1871994.1
193,Bayer,Germany,99820,174,51933,-0.012,8269.3,0.65,90162.1
194,Sinopharm,China,110641,199,51844,0.084,690.1,0.369,43301.2
195,Wesfarmers,Australia,223000,198,51600,0.075,2165.9,6.315,30763
196,Finatis,France,231544,197,51578,0.071,-66.5,-1.097,48192.8
197,Oil & Natural Gas,India,32265,-,51219,1.569,3429.3,0.122,70571
198,Nippon Steel & Sumitomo Metal,Japan,101738,228,51164,0.197,1760.6,0.457,71404.2
199,JBS,Brazil,235000,191,51118,0.047,167.4,1.5,32776.3
200,Lockheed Martin,USA,100000,178,51048,0.008,2002,-0.622,46521
201,CNP Assurances,France,5171,200,50737,0.061,1447.9,0.091,508283.1
202,Guangzhou Automobile Industry Group,China,84290,238,50323,0.211,989.2,0.792,39171
203,Novartis,Switzerland,121597,186,50135,0.014,7703,0.148,133079
204,Itochu,Japan,117074,215,49732,0.114,3613.3,0.112,81481.6
205,Sberbank,Russia,310277,232,49698,0.179,12869,0.593,471033.2
206,Continental,Germany,235473,213,49608,0.106,3364.3,0.086,44957.4
207,AIG,USA,49800,175,49520,-0.054,-6084,-,498301
208,Christian Dior,France,131310,234,49221,0.169,2525,0.451,87370.3
209,Tokio Marine Holdings,Japan,39191,193,48731,0.009,2565,0.015,215648.8
210,Centene,USA,33700,244,48572,0.193,828,0.473,21855
211,Deutsche Bahn,Germany,310935,212,48124,0.073,839.8,0.093,67766.6
212,Cisco Systems,USA,72900,187,48005,-0.025,9609,-0.105,129818
213,China Merchants Bank,China,72530,216,47951,0.076,10379.4,0.111,967082
214,RWE,Germany,59547,195,47832,-0.008,2189.1,-,82923.9
